id,ulasan,tanggal
1,"Aplikasi PLN Mobile sangat membantu untuk mengecek tagihan listrik dan pembelian token karena tampilannya jelas dan mudah dipahami, namun customer service kurang responsif dan penanganan gangguan lama saat saya menghubungi terkait kendala transaksi.",2025-01-01
2,"Tampilan aplikasi cukup modern dan nyaman digunakan, tetapi proses login sering gagal dan ketika menghubungi CS, respon yang diberikan juga cukup lambat.",2025-01-01
3,"Aplikasi mudah digunakan dengan fitur yang lengkap serta navigasi yang jelas, dan customer service merespons dengan cepat serta ramah ketika saya membutuhkan bantuan.",2025-01-01
4,"Server sering error terutama saat jam sibuk sehingga transaksi gagal, dan pelayanan customer service juga kurang membantu dalam memberikan solusi.",2025-01-01
5,"Fitur pembayaran listrik sangat memudahkan pengguna dengan proses yang cepat dan stabil, serta pelayanan CS yang ramah dan profesional saat menangani pertanyaan.",2025-01-01
6,"Aplikasi terasa lambat dan kadang tidak bisa dibuka ketika dibutuhkan, tetapi pelayanan customer service cukup ramah dan cepat dalam merespons keluhan.",2025-01-02
7,"Notifikasi tagihan sangat membantu agar tidak telat bayar dan aplikasi berjalan lancar tanpa kendala, ditambah lagi customer service selalu memberikan jawaban yang jelas.",2025-01-02
8,"Aplikasi mudah digunakan dengan tampilan sederhana, namun pelayanan CS kurang responsif saat ada gangguan sistem.",2025-01-02
9,"User interface sederhana dan mudah dipahami sehingga nyaman digunakan, tetapi pelayanan yang diberikan cukup lama saat saya mengajukan komplain.",2025-01-02
10,"Sering terjadi error saat melakukan transaksi pembayaran sehingga cukup mengganggu, namun pelayanan CS cukup baik, ramah, dan cepat saat dihubungi.",2025-01-02
11,"Proses registrasi cepat dan mudah dengan sistem yang stabil, dan pelayanan customer service juga sigap membantu saat ada kendala.",2025-01-02
12,"Fitur riwayat pembayaran lengkap dan jelas sehingga memudahkan pengecekan, tetapi pelayanan CS kurang informatif ketika saya bertanya lebih lanjut.",2025-01-02
13,"Login menggunakan OTP kadang gagal dan harus mencoba berulang kali, serta respon customer service juga tidak terlalu cepat.",2025-01-03
14,"Aplikasi stabil dan jarang crash dengan navigasi yang mudah, serta pelayanan CS profesional dan ramah dalam menangani pertanyaan.",2025-01-03
15,"Server kadang overload saat malam hari sehingga transaksi tertunda, namun customer service cukup membantu menjelaskan penyebab kendala tersebut.",2025-01-03
16,"Notifikasi pembayaran sangat membantu dan selalu tepat waktu, tetapi ketika saya menghubungi CS untuk pertanyaan lain, responnya cukup lambat.",2025-01-03
17,"Pelayanan CS sangat ramah dan profesional dalam menjawab setiap pertanyaan, namun aplikasi terkadang terasa lambat saat membuka menu utama.",2025-01-03
18,"Fitur token listrik cepat diproses dan akurat sehingga memudahkan pengguna, serta customer service juga responsif ketika dihubungi.",2025-01-03
19,"Kadang aplikasi terasa lambat saat membuka menu utama dan membuat pengalaman kurang nyaman, serta customer service juga tidak langsung merespons keluhan.",2025-01-03
20,"Customer service lambat merespons keluhan dan kurang memberikan solusi yang jelas, selain itu aplikasi juga sering mengalami error saat transaksi.",2025-01-04
21,"Fitur cek tagihan sangat mudah digunakan dengan tampilan yang jelas dan respons cepat, namun customer service kurang memberikan penjelasan detail saat saya bertanya.",2025-01-04
22,"Kadang fitur pembelian token mengalami error dan membuat transaksi gagal, tetapi pelayanan CS cukup ramah dan berusaha membantu menyelesaikan masalah.",2025-01-04
23,"User interface intuitif dan mudah dipahami sehingga nyaman digunakan sehari-hari, serta customer service juga cepat merespons setiap keluhan.",2025-01-04
24,"Notifikasi tagihan tidak selalu muncul sesuai tanggal sehingga cukup mengganggu, dan ketika menghubungi CS responnya juga cukup lama.",2025-01-04
25,"Server sering down di jam sibuk sehingga transaksi tertunda, tetapi customer service cukup sigap memberikan informasi penyebab kendala.",2025-01-04
26,"Proses pembayaran cepat dan lancar dengan sistem yang stabil, serta pelayanan CS ramah dan profesional dalam menjawab pertanyaan.",2025-01-05
27,"Login gagal beberapa kali tanpa alasan jelas dan cukup membuat frustrasi, namun customer service cukup membantu ketika dihubungi.",2025-01-05
28,"Aplikasi stabil dan mudah digunakan dengan navigasi yang jelas, tetapi pelayanan CS kurang responsif saat terjadi gangguan.",2025-01-05
29,"Fitur token listrik kadang error sehingga transaksi tertunda, dan customer service juga lambat merespons keluhan.",2025-01-05
30,"Tampilan UI bersih dan minimalis sehingga nyaman dipandang, serta customer service cepat memberikan solusi saat dibutuhkan.",2025-01-05
31,"Customer service cepat merespons keluhan dengan penjelasan yang jelas, tetapi aplikasi terkadang terasa lambat saat membuka menu utama.",2025-01-05
32,"Notifikasi pembayaran selalu tepat waktu dan membantu pengguna, serta pelayanan CS juga responsif dan ramah.",2025-01-05
33,"Aplikasi ringan dan cepat saat dijalankan tanpa kendala berarti, namun customer service kurang komunikatif saat menjelaskan solusi.",2025-01-06
34,"Kadang error saat membeli token listrik sehingga transaksi gagal, tetapi CS cukup sigap membantu proses pengecekan.",2025-01-06
35,"User interface menarik dan sederhana sehingga nyaman digunakan, serta customer service juga sangat membantu.",2025-01-06
36,"Proses login terkadang gagal beberapa kali dan cukup mengganggu, serta pelayanan CS juga tidak langsung merespons.",2025-01-06
37,"Fitur cek tagihan cepat dan akurat sehingga memudahkan pengguna, tetapi pelayanan CS kurang ramah saat saya menghubungi.",2025-01-06
38,"Server kadang lambat merespons permintaan sehingga aplikasi terasa berat, namun CS cukup membantu menjelaskan kendala.",2025-01-06
39,"Notifikasi tagihan sangat membantu pengguna agar tidak telat bayar, serta pelayanan CS juga profesional dan ramah.",2025-01-06
40,"Pelayanan CS ramah dan profesional dalam menjawab pertanyaan, tetapi aplikasi kadang mengalami lag saat digunakan.",2025-01-06
41,"Fitur riwayat pembayaran lengkap dan mudah dipahami, namun customer service kurang responsif saat saya membutuhkan bantuan.",2025-01-06
42,"Aplikasi sering hang saat transaksi dan cukup mengecewakan, serta CS juga tidak segera memberikan solusi.",2025-01-07
43,"Tampilan UI jelas dan mudah dipahami sehingga nyaman digunakan, dan customer service cepat serta informatif.",2025-01-07
44,"Server down membuat pembelian token gagal dan sangat mengganggu, tetapi CS cukup ramah saat menjelaskan kendala.",2025-01-07
45,"Proses refund mudah dan cepat dengan sistem yang jelas, serta pelayanan CS sangat membantu dan responsif.",2025-01-07
46,"Login menggunakan OTP kadang gagal dan harus mencoba berulang kali, serta respon CS juga cukup lambat.",2025-01-07
47,"Fitur pembayaran listrik sangat membantu dengan proses yang cepat, tetapi pelayanan CS kurang tanggap saat terjadi kendala.",2025-01-07
48,"Aplikasi tidak merespons saat membuka menu utama dan cukup mengecewakan, namun CS cukup ramah ketika dihubungi.",2025-01-07
49,"Customer service cepat merespons keluhan dengan solusi yang jelas, serta aplikasi berjalan stabil tanpa error.",2025-01-07
50,"Notifikasi pembayaran selalu muncul tepat waktu dan akurat, tetapi pelayanan CS kurang detail dalam menjawab pertanyaan.",2025-01-07
51,"UI aplikasi modern dan user-friendly sehingga nyaman digunakan, serta CS juga profesional dalam memberikan bantuan.",2025-01-08
52,"Server kadang overload saat jam sibuk sehingga transaksi tertunda, dan CS juga cukup lama merespons.",2025-01-08
53,"Fitur token listrik mudah digunakan dan jarang mengalami kendala, tetapi pelayanan CS kurang responsif.",2025-01-08
54,"Login gagal beberapa kali tanpa alasan jelas dan cukup mengganggu, namun customer service cukup membantu saat dihubungi.",2025-01-08
55,"Aplikasi stabil dan lancar tanpa kendala berarti, serta customer service cepat dan ramah.",2025-01-08
56,"Notifikasi tagihan kadang terlambat muncul sehingga cukup merepotkan, tetapi CS cukup membantu saat dikonfirmasi.",2025-01-08
57,"Customer service sangat membantu dan cepat merespons, meskipun aplikasi terkadang terasa lambat saat jam sibuk.",2025-01-08
58,"Fitur riwayat pembayaran lengkap dan jelas sehingga mudah dicek, serta CS juga informatif.",2025-01-08
59,"Server sering down di jam sibuk sehingga transaksi gagal, dan pelayanan CS juga kurang memberikan solusi memuaskan.",2025-01-08
60,"UI aplikasi nyaman digunakan sehari-hari dengan tampilan bersih, tetapi CS kurang responsif saat terjadi gangguan.",2025-01-08
61,"Proses registrasi cepat dan mudah dengan sistem stabil, namun pelayanan CS kurang ramah saat menjawab pertanyaan.",2025-01-09
62,"Kadang fitur pembelian token error sehingga transaksi tertunda, tetapi CS cukup cepat membantu pengecekan.",2025-01-09
63,"Notifikasi pembayaran sangat membantu agar tidak telat bayar, serta pelayanan CS juga sigap dan profesional.",2025-01-09
64,"Pelayanan CS kurang responsif saat ada gangguan dan cukup mengecewakan, serta aplikasi juga terasa lambat.",2025-01-09
65,"User interface sederhana dan mudah dipahami sehingga nyaman digunakan, tetapi pelayanan CS kurang komunikatif.",2025-01-09
66,"Sering error saat melakukan transaksi pembayaran dan cukup mengganggu, namun CS cukup ramah saat dihubungi.",2025-01-09
67,"Aplikasi membantu mengecek tagihan listrik dengan cepat dan akurat, serta CS juga responsif dan informatif.",2025-01-09
68,"Login aplikasi kadang gagal tanpa alasan jelas dan membuat frustrasi, serta CS juga lambat merespons.",2025-01-09
69,"Fitur pembayaran listrik cepat dan mudah digunakan, tetapi pelayanan CS kurang tanggap saat saya komplain.",2025-01-09
70,"Server down saat jam sibuk sangat menyulitkan dan transaksi gagal, namun CS cukup membantu menjelaskan kendala.",2025-01-09
71,"Notifikasi tagihan tepat waktu dan jelas sehingga membantu pengguna, serta pelayanan CS juga ramah.",2025-01-09
72,"Customer service ramah dan profesional dalam menjawab pertanyaan, tetapi aplikasi terkadang terasa lambat.",2025-01-09
73,"UI aplikasi modern dan intuitif sehingga nyaman digunakan, serta CS juga cepat merespons keluhan.",2025-01-10
74,"Kadang aplikasi lambat saat digunakan dan cukup mengganggu, tetapi CS cukup membantu ketika dihubungi.",2025-01-10
75,"Fitur token listrik memudahkan pengguna dengan proses cepat, namun pelayanan CS kurang responsif.",2025-01-10
76,"Login sering gagal beberapa kali dan cukup mengecewakan, serta CS juga lambat merespons keluhan.",2025-01-10
77,"Proses registrasi cepat dan lancar tanpa kendala berarti, serta pelayanan CS juga sangat membantu.",2025-01-10
78,"Server sering down saat transaksi penting dan sangat merugikan, namun CS cukup ramah dalam menjelaskan kendala.",2025-01-10
79,"Notifikasi pembayaran membantu pengguna tepat waktu, tetapi pelayanan CS kurang detail dalam memberikan informasi.",2025-01-10
80,"Pelayanan CS kurang responsif dan cukup mengecewakan, serta aplikasi juga sering mengalami error saat transaksi.",2025-01-10
81,"User interface sederhana dan ramah pengguna sehingga nyaman dipakai, serta CS juga sigap membantu.",2025-01-10
82,"Aplikasi sering error saat melakukan transaksi pembayaran dan cukup mengganggu, namun CS cukup ramah saat dihubungi.",2025-01-10
83,"Tampilan UI bersih dan sederhana sehingga mudah dipahami, tetapi pelayanan CS kurang cepat dalam merespons.",2025-01-11
84,"Login aplikasi kadang gagal tanpa alasan jelas dan membuat frustrasi, serta CS juga tidak segera memberikan solusi.",2025-01-11
85,"Server down membuat transaksi gagal dan cukup mengecewakan, tetapi CS cukup membantu menjelaskan penyebabnya.",2025-01-11
86,"Fitur riwayat pembayaran lengkap dan informatif sehingga mudah dipantau, serta CS juga responsif.",2025-01-11
87,"Customer service cepat merespons keluhan dengan solusi yang jelas, namun aplikasi kadang terasa lambat.",2025-01-11
88,"Notifikasi pembayaran tepat waktu dan membantu pengguna, tetapi pelayanan CS kurang komunikatif.",2025-01-11
89,"Aplikasi stabil dan lancar saat digunakan tanpa error berarti, serta pelayanan CS profesional.",2025-01-11
90,"Fitur token listrik mudah digunakan dan akurat, namun CS kurang responsif saat terjadi kendala.",2025-01-11
91,"UI aplikasi nyaman dan user-friendly sehingga mudah dipahami, serta CS juga sangat membantu.",2025-01-12
92,"Server kadang lambat saat transaksi penting dan cukup mengganggu, tetapi CS cukup cepat menjelaskan kendala.",2025-01-12
93,"Proses refund cepat dan mudah dengan sistem yang jelas, namun pelayanan CS kurang ramah.",2025-01-12
94,"Login gagal beberapa kali dan cukup mengecewakan, serta CS juga lambat merespons keluhan.",2025-01-12
95,"Fitur pembayaran listrik membantu pengguna dengan proses cepat, serta CS juga responsif.",2025-01-12
96,"Aplikasi lambat saat membuka menu utama dan cukup mengganggu, namun CS cukup ramah saat dihubungi.",2025-01-12
97,"Customer service sangat membantu dan cepat merespons, meskipun aplikasi kadang mengalami lag.",2025-01-12
98,"Notifikasi tagihan selalu tepat waktu dan jelas, tetapi pelayanan CS kurang memberikan solusi detail.",2025-01-12
99,"User interface modern dan intuitif sehingga nyaman digunakan, serta CS juga profesional.",2025-01-12
100,"Server down saat jam sibuk membuat transaksi gagal dan cukup mengecewakan, serta pelayanan CS juga kurang responsif.",2025-01-12
